ano,idprov,province,inmigrations,emigrations,net_migration
1999,03,Alicante,19367,11368,7999
1999,04,Almería,5923,5643,280
1999,05,Ávila,2421,2880,-459
1999,06,Badajoz,5866,6972,-1106
1999,07,Baleares,20267,9336,10931
1999,08,Barcelona,27045,37142,-10097
1999,09,Burgos,3934,4851,-917
1999,10,Cáceres,4847,5983,-1136
1999,11,Cádiz,9938,13552,-3614
1999,12,Castellón,6143,3781,2362
1999,13,Ciudad Real,4191,5500,-1309
1999,14,Córdoba,5879,8466,-2587
1999,15,A Coruña,7111,9068,-1957
1999,16,Cuenca,2497,3085,-588
1999,17,Girona,9703,6333,3370
1999,18,Granada,7521,10076,-2555
1999,19,Guadalajara,5773,2935,2838
1999,20,Guipúzcoa,4703,5679,-976
1999,21,Huelva,3718,3879,-161
1999,22,Huesca,2786,2600,186
1999,23,Jaén,5070,7197,-2127
1999,24,León,4918,6285,-1367
1999,25,Lleida,4722,4222,500
1999,26,La Rioja,4003,2945,1058
1999,27,Lugo,2846,3202,-356
1999,28,Madrid,44038,52458,-8420
1999,29,Málaga,14225,9134,5091
1999,30,Murcia,11089,9224,1865
1999,31,Navarra,5547,4156,1391
1999,32,Ourense,2981,4122,-1141
1999,33,Asturias,5848,7942,-2094
1999,34,Palencia,1925,2674,-749
1999,35,Las Palmas,16486,10022,6464
1999,36,Pontevedra,5952,7636,-1684
1999,37,Salamanca,3569,4641,-1072
1999,38,Santa Cruz de Tenerife,8637,6830,1807
1999,39,Cantabria,6695,5069,1626
1999,40,Segovia,2098,1925,173
1999,41,Sevilla,12401,14723,-2322
1999,42,Soria,1197,1307,-110
1999,43,Tarragona,11237,6747,4490
1999,44,Teruel,2040,1990,50
1999,45,Toledo,9381,7040,2341
1999,46,Valencia,13554,13426,128
1999,47,Valladolid,4354,5237,-883
1999,48,Vizcaya,7539,11528,-3989
1999,49,Zamora,2263,2687,-424
1999,50,Zaragoza,5935,6804,-869
1999,51,Ceuta,2449,2112,337
1999,52,Melilla,2460,2276,184
2000,01,Álava,3867,3553,314
2000,02,Albacete,3882,4188,-306
2000,03,Alicante,20823,12749,8074
2000,04,Almería,5729,7072,-1343
2000,05,Ávila,2143,2886,-743
2000,06,Badajoz,5654,6697,-1043
2000,07,Baleares,22321,11194,11127
2000,08,Barcelona,28739,38701,-9962
2000,09,Burgos,3493,4828,-1335
2000,10,Cáceres,3911,6070,-2159
2000,11,Cádiz,11741,12972,-1231
2000,12,Castellón,7113,4264,2849
2000,13,Ciudad Real,4238,5757,-1519
2000,14,Córdoba,5914,8422,-2508
2000,15,A Coruña,7613,9704,-2091
2000,16,Cuenca,2239,3452,-1213
2000,17,Girona,10336,6474,3862
2000,18,Granada,7980,10175,-2195
2000,19,Guadalajara,5488,3056,2432
2000,20,Guipúzcoa,4555,5849,-1294
2000,21,Huelva,3743,4007,-264
2000,22,Huesca,2496,2681,-185
2000,23,Jaén,5180,7508,-2328
2000,24,León,4056,6434,-2378
2000,25,Lleida,3791,4529,-738
2000,26,La Rioja,4339,3136,1203
2000,27,Lugo,2832,3442,-610
2000,28,Madrid,45831,52172,-6341
2000,29,Málaga,13802,9422,4380
2000,30,Murcia,10981,10280,701
2000,31,Navarra,5834,4719,1115
2000,32,Ourense,3160,4205,-1045
2000,33,Asturias,5988,8173,-2185
2000,34,Palencia,1871,2586,-715
2000,35,Las Palmas,16637,11759,4878
2000,36,Pontevedra,6249,8156,-1907
2000,37,Salamanca,3459,4677,-1218
2000,38,Santa Cruz de Tenerife,10069,7592,2477
2000,39,Cantabria,6710,4881,1829
2000,40,Segovia,1876,2107,-231
2000,41,Sevilla,13491,15229,-1738
2000,42,Soria,1208,1353,-145
2000,43,Tarragona,14704,6946,7758
2000,44,Teruel,1924,2294,-370
2000,45,Toledo,9340,6959,2381
2000,46,Valencia,16049,13252,2797
2000,47,Valladolid,4712,5323,-611
2000,48,Vizcaya,7867,11841,-3974
2000,49,Zamora,2139,2734,-595
2000,50,Zaragoza,6740,7005,-265
2000,51,Ceuta,1998,2528,-530
2000,52,Melilla,1723,2585,-862
2001,01,Álava,3651,3647,4
2001,02,Albacete,3808,4405,-597
2001,03,Alicante,20857,13115,7742
2001,04,Almería,5765,6483,-718
2001,05,Ávila,2192,2390,-198
2001,06,Badajoz,4670,6530,-1860
2001,07,Baleares,20765,12389,8376
2001,08,Barcelona,30431,38784,-8353
2001,09,Burgos,4038,4566,-528
2001,10,Cáceres,3879,5394,-1515
2001,11,Cádiz,10676,11084,-408
2001,12,Castellón,7290,4340,2950
2001,13,Ciudad Real,4268,5423,-1155
2001,14,Córdoba,5437,7455,-2018
2001,15,A Coruña,7432,8869,-1437
2001,16,Cuenca,2264,3413,-1149
2001,17,Girona,10256,6652,3604
2001,18,Granada,7969,8205,-236
2001,19,Guadalajara,6296,3233,3063
2001,20,Guipúzcoa,5113,5478,-365
2001,21,Huelva,3532,3870,-338
2001,22,Huesca,2866,2427,439
2001,23,Jaén,4641,6339,-1698
2001,24,León,4049,6103,-2054
2001,25,Lleida,4689,4228,461
2001,26,La Rioja,4108,3294,814
2001,27,Lugo,2957,3269,-312
2001,28,Madrid,45581,55329,-9748
2001,29,Málaga,12752,8488,4264
2001,30,Murcia,10964,11584,-620
2001,31,Navarra,5785,5327,458
