Ciudad,Provincia,Comunidad Autónoma,Municipio,Población,Tasa,Casos,Año
Cuenca,Cuenca,Castilla La Mancha,Cuenca (Castilla La Mancha),56107,"46,34002887",26,2013
Vilafranca del Penedès,Barcelona,Cataluña,Vilafranca del Penedès (Cataluña),38929,"46,23802307",18,2013
"Campello, el",Alacant/Alicante,Comunidad Valenciana,"Campello, el (Comunidad Valenciana)",28184,"46,12546125",13,2013
Felanitx,Illes Balears,Illes Balears,Felanitx (Illes Balears),17359,"46,08560401",8,2013
Arahal,Sevilla,Andalucía,Arahal (Andalucía),19536,"46,06879607",9,2013
"Escorial, El",Madrid,Comunidad de Madrid,"Escorial, El (Comunidad de Madrid)",15197,"46,06172271",7,2013
Tarazona,Zaragoza,Aragón,Tarazona (Aragón),10863,"46,02780079",5,2013
Palma de Mallorca,Illes Balears,Illes Balears,Palma de Mallorca (Illes Balears),398162,"45,96119168",183,2013
Sant Adrià de Besòs,Barcelona,Cataluña,Sant Adrià de Besòs (Cataluña),34822,"45,94796393",16,2013
Córdoba,Córdoba,Andalucía,Córdoba (Andalucía),328704,"45,93798676",151,2013
Huelva,Huelva,Andalucía,Huelva (Andalucía),148101,"45,91461233",68,2013
San Bartolomé de Tirajana,Las Palmas,Canarias,San Bartolomé de Tirajana (Canarias),56698,"45,85699672",26,2013
Santiago de Compostela,A Coruña,Galicia,Santiago de Compostela (Galicia),96041,"45,81376704",44,2013
Badajoz,Badajoz,Extremadura,Badajoz (Extremadura),150621,"45,81034517",69,2013
Albacete,Albacete,Castilla La Mancha,Albacete (Castilla La Mancha),172693,"45,74591906",79,2013
Alberic,València/Valencia,Comunidad Valenciana,Alberic (Comunidad Valenciana),10943,"45,69130951",5,2013
Rubí,Barcelona,Cataluña,Rubí (Cataluña),74468,"45,65719504",34,2013
Torredembarra,Tarragona,Cataluña,Torredembarra (Cataluña),15354,"45,59072554",7,2013
Madrid,Madrid,Comunidad de Madrid,Madrid (Comunidad de Madrid),3207247,"45,49072772",1459,2013
San Cristóbal de La Laguna,Santa Cruz de Tenerife,Canarias,San Cristóbal de La Laguna (Canarias),151718,"45,47911256",69,2013
Cártama,Málaga,Andalucía,Cártama (Andalucía),24242,"45,37579408",11,2013
Godella,València/Valencia,Comunidad Valenciana,Godella (Comunidad Valenciana),13226,"45,36518978",6,2013
Tudela,Navarra,Navarra,Tudela (Navarra),35369,"45,23735475",16,2013
Maó,Illes Balears,Illes Balears,Maó (Illes Balears),28765,"45,19381192",13,2013
Miranda de Ebro,Burgos,Castilla y León,Miranda de Ebro (Castilla y León),37648,"45,15512112",17,2013
Arteixo,A Coruña,Galicia,Arteixo (Galicia),31005,"45,15400742",14,2013
Marchena,Sevilla,Andalucía,Marchena (Andalucía),19959,"45,0924395",9,2013
Vilagarcía de Arousa,Pontevedra,Galicia,Vilagarcía de Arousa (Galicia),37741,"45,04385151",17,2013
Madridejos,Toledo,Castilla La Mancha,Madridejos (Castilla La Mancha),11113,"44,9923513",5,2013
Cornellà de Llobregat,Barcelona,Cataluña,Cornellà de Llobregat (Cataluña),86687,"44,98944478",39,2013
Sueca,València/Valencia,Comunidad Valenciana,Sueca (Comunidad Valenciana),28961,"44,88795276",13,2013
"Llagosta, La",Barcelona,Cataluña,"Llagosta, La (Cataluña)",13447,"44,61961776",6,2013
Pallejà,Barcelona,Cataluña,Pallejà (Cataluña),11208,"44,61099215",5,2013
Torrent,València/Valencia,Comunidad Valenciana,Torrent (Comunidad Valenciana),80759,"44,577075",36,2013
Móstoles,Madrid,Comunidad de Madrid,Móstoles (Comunidad de Madrid),206451,"44,5626323",92,2013
Picanya,València/Valencia,Comunidad Valenciana,Picanya (Comunidad Valenciana),11223,"44,55136773",5,2013
Coín,Málaga,Andalucía,Coín (Andalucía),22536,"44,37344693",10,2013
Sant Boi de Llobregat,Barcelona,Cataluña,Sant Boi de Llobregat (Cataluña),83408,"44,36025321",37,2013
Motril,Granada,Andalucía,Motril (Andalucía),61194,"44,12197274",27,2013
"Carolina, La",Jaén,Andalucía,"Carolina, La (Andalucía)",15899,"44,02792628",7,2013
"Laracha, A",A Coruña,Galicia,"Laracha, A (Galicia)",11375,"43,95604396",5,2013
Santoña,Cantabria,Cantabria,Santoña (Cantabria),11382,"43,92901072",5,2013
Vilanova i la Geltrú,Barcelona,Cataluña,Vilanova i la Geltrú (Cataluña),66275,"43,7570728",29,2013
Viveiro,Lugo,Galicia,Viveiro (Galicia),16016,"43,70629371",7,2013
Tomelloso,Ciudad Real,Castilla La Mancha,Tomelloso (Castilla La Mancha),38900,"43,70179949",17,2013
Burgos,Burgos,Castilla y León,Burgos (Castilla y León),179097,"43,55181829",78,2013
"Vendrell, El",Tarragona,Cataluña,"Vendrell, El (Cataluña)",36747,"43,54096933",16,2013
Beasain,Gipuzkoa,País Vasco,Beasain (País Vasco),13792,"43,50348028",6,2013
Malgrat de Mar,Barcelona,Cataluña,Malgrat de Mar (Cataluña),18429,"43,40984318",8,2013
Montornès del Vallès,Barcelona,Cataluña,Montornès del Vallès (Cataluña),16150,"43,34365325",7,2013
Pollença,Illes Balears,Illes Balears,Pollença (Illes Balears),16200,"43,20987654",7,2013
Gavà,Barcelona,Cataluña,Gavà (Cataluña),46377,"43,12482481",20,2013
Narón,A Coruña,Galicia,Narón (Galicia),39450,"43,09252218",17,2013
Alcalá del Río,Sevilla,Andalucía,Alcalá del Río (Andalucía),11620,"43,0292599",5,2013
Jerez de la Frontera,Cádiz,Andalucía,Jerez de la Frontera (Andalucía),211670,"42,99144895",91,2013
Baeza,Jaén,Andalucía,Baeza (Andalucía),16302,"42,93951662",7,2013
Gondomar,Pontevedra,Galicia,Gondomar (Galicia),14005,"42,8418422",6,2013
Ceuta,Ceuta,Ceuta,Ceuta (Ceuta),84180,"42,76550249",36,2013
Quintanar de la Orden,Toledo,Castilla La Mancha,Quintanar de la Orden (Castilla La Mancha),11704,"42,72043746",5,2013
Villanueva de la Cañada,Madrid,Comunidad de Madrid,Villanueva de la Cañada (Comunidad de Madrid),18734,"42,70310665",8,2013
Haro,La Rioja,La Rioja,Haro (La Rioja),11713,"42,68761206",5,2013
Loja,Granada,Andalucía,Loja (Andalucía),21135,"42,58339248",9,2013
Torredonjimeno,Jaén,Andalucía,Torredonjimeno (Andalucía),14116,"42,50495891",6,2013
Canet de Mar,Barcelona,Cataluña,Canet de Mar (Cataluña),14124,"42,4808836",6,2013
Sabadell,Barcelona,Cataluña,Sabadell (Cataluña),207649,"42,37920722",88,2013
Molina de Segura,Murcia,Región de Murcia,Molina de Segura (Región de Murcia),68450,"42,36669102",29,2013
Pontevedra,Pontevedra,Galicia,Pontevedra (Galicia),82934,"42,2022331",35,2013
Santa Brígida,Las Palmas,Canarias,Santa Brígida (Canarias),18971,"42,16962733",8,2013
Béjar,Salamanca,Castilla y León,Béjar (Castilla y León),14280,"42,01680672",6,2013
Manises,València/Valencia,Comunidad Valenciana,Manises (Comunidad Valenciana),31057,"41,85851821",13,2013
Benicarló,Castelló/Castellón,Comunidad Valenciana,Benicarló (Comunidad Valenciana),26491,"41,5235363",11,2013
Camas,Sevilla,Andalucía,Camas (Andalucía),26535,"41,45468249",11,2013
"Villajoyosa/Vila Joiosa, la",Alacant/Alicante,Comunidad Valenciana,"Villajoyosa/Vila Joiosa, la (Comunidad Valenciana)",33834,"41,37849501",14,2013
Fuengirola,Málaga,Andalucía,Fuengirola (Andalucía),77397,"41,34527178",32,2013
Hernani,Gipuzkoa,País Vasco,Hernani (País Vasco),19354,"41,33512452",8,2013
Getxo,Bizkaia,País Vasco,Getxo (País Vasco),79839,"41,33318303",33,2013
Arnedo,La Rioja,La Rioja,Arnedo (La Rioja),14559,"41,21162168",6,2013
"Orotava, La",Santa Cruz de Tenerife,Canarias,"Orotava, La (Canarias)",41255,"41,20712641",17,2013
Olot,Girona,Cataluña,Olot (Cataluña),33981,"41,19949383",14,2013
Andújar,Jaén,Andalucía,Andújar (Andalucía),38885,"41,14697184",16,2013
Mataró,Barcelona,Cataluña,Mataró (Cataluña),124099,"41,09622157",51,2013
Moncada,València/Valencia,Comunidad Valenciana,Moncada (Comunidad Valenciana),21930,"41,03967168",9,2013
Mula,Murcia,Región de Murcia,Mula (Región de Murcia),17057,"41,03886967",7,2013
"Puebla del Río, La",Sevilla,Andalucía,"Puebla del Río, La (Andalucía)",12207,"40,96010486",5,2013
Lliçà d'Amunt,Barcelona,Cataluña,Lliçà d'Amunt (Cataluña),14659,"40,93048639",6,2013
Santa Margalida,Illes Balears,Illes Balears,Santa Margalida (Illes Balears),12243,"40,83966348",5,2013
Caldes de Montbui,Barcelona,Cataluña,Caldes de Montbui (Cataluña),17156,"40,80205176",7,2013
Puerto del Rosario,Las Palmas,Canarias,Puerto del Rosario (Canarias),36774,"40,78968837",15,2013
Arucas,Las Palmas,Canarias,Arucas (Canarias),36852,"40,70335396",15,2013
Martos,Jaén,Andalucía,Martos (Andalucía),24585,"40,67520846",10,2013
Toledo,Toledo,Castilla La Mancha,Toledo (Castilla La Mancha),83593,"40,67326212",34,2013
San Roque,Cádiz,Andalucía,San Roque (Andalucía),29536,"40,6283857",12,2013
Utiel,València/Valencia,Comunidad Valenciana,Utiel (Comunidad Valenciana),12311,"40,61408496",5,2013
Guillena,Sevilla,Andalucía,Guillena (Andalucía),12328,"40,55807917",5,2013
Logroño,La Rioja,La Rioja,Logroño (La Rioja),153066,"40,5054029",62,2013
Almería,Almería,Andalucía,Almería (Andalucía),192697,"40,47805622",78,2013
Fraga,Huesca,Aragón,Fraga (Aragón),14834,"40,44762033",6,2013
Mollet del Vallès,Barcelona,Cataluña,Mollet del Vallès (Cataluña),51954,"40,42037187",21,2013
Bueu,Pontevedra,Galicia,Bueu (Galicia),12375,"40,4040404",5,2013
Villena,Alacant/Alicante,Comunidad Valenciana,Villena (Comunidad Valenciana),34834,"40,19061836",14,2013
Leganés,Madrid,Comunidad de Madrid,Leganés (Comunidad de Madrid),186995,"40,10802428",75,2013
Vilassar de Mar,Barcelona,Cataluña,Vilassar de Mar (Cataluña),20030,"39,94008987",8,2013
Cardedeu,Barcelona,Cataluña,Cardedeu (Cataluña),17533,"39,9247134",7,2013
Barberà del Vallès,Barcelona,Cataluña,Barberà del Vallès (Cataluña),32580,"39,90178023",13,2013
Aranjuez,Madrid,Comunidad de Madrid,Aranjuez (Comunidad de Madrid),57728,"39,84201774",23,2013
Catarroja,València/Valencia,Comunidad Valenciana,Catarroja (Comunidad Valenciana),27654,"39,77724741",11,2013
Algete,Madrid,Comunidad de Madrid,Algete (Comunidad de Madrid),20136,"39,72983711",8,2013
Estepa,Sevilla,Andalucía,Estepa (Andalucía),12631,"39,58514765",5,2013
Cartagena,Murcia,Región de Murcia,Cartagena (Región de Murcia),217641,"39,51461351",86,2013
"Realejos, Los",Santa Cruz de Tenerife,Canarias,"Realejos, Los (Canarias)",37970,"39,50487227",15,2013
Totana,Murcia,Región de Murcia,Totana (Región de Murcia),30448,"39,4114556",12,2013
Lleida,Lleida,Cataluña,Lleida (Cataluña),139809,"39,33938445",55,2013
Alcalá de Guadaíra,Sevilla,Andalucía,Alcalá de Guadaíra (Andalucía),73876,"39,25496778",29,2013
Marín,Pontevedra,Galicia,Marín (Galicia),25483,"39,24184751",10,2013
"Barrios, Los",Cádiz,Andalucía,"Barrios, Los (Andalucía)",22948,"39,21910406",9,2013
Sedaví,València/Valencia,Comunidad Valenciana,Sedaví (Comunidad Valenciana),10201,"39,21184198",4,2013
Teror,Las Palmas,Canarias,Teror (Canarias),12761,"39,1818823",5,2013
Santa Fe,Granada,Andalucía,Santa Fe (Andalucía),15323,"39,15682308",6,2013
Martorell,Barcelona,Cataluña,Martorell (Cataluña),28108,"39,1347659",11,2013
Aranda de Duero,Burgos,Castilla y León,Aranda de Duero (Castilla y León),33257,"39,08951499",13,2013
Mos,Pontevedra,Galicia,Mos (Galicia),15367,"39,04470619",6,2013
Sant Vicenç dels Horts,Barcelona,Cataluña,Sant Vicenç dels Horts (Cataluña),28181,"39,03339129",11,2013
Mérida,Badajoz,Extremadura,Mérida (Extremadura),59049,"38,95070196",23,2013
Torremolinos,Málaga,Andalucía,Torremolinos (Andalucía),69389,"38,9110666",27,2013
Lorca,Murcia,Región de Murcia,Lorca (Región de Murcia),92718,"38,82741215",36,2013
Puertollano,Ciudad Real,Castilla La Mancha,Puertollano (Castilla La Mancha),51550,"38,79728419",20,2013
Premià de Dalt,Barcelona,Cataluña,Premià de Dalt (Cataluña),10319,"38,76344607",4,2013
Marbella,Málaga,Andalucía,Marbella (Andalucía),142018,"38,72748525",55,2013
Granada,Granada,Andalucía,Granada (Andalucía),237818,"38,68504487",92,2013
Utrera,Sevilla,Andalucía,Utrera (Andalucía),52013,"38,45192548",20,2013
Caravaca de la Cruz,Murcia,Región de Murcia,Caravaca de la Cruz (Región de Murcia),26024,"38,42606824",10,2013
Jimena de la Frontera,Cádiz,Andalucía,Jimena de la Frontera (Andalucía),10412,"38,41721091",4,2013
Orihuela,Alacant/Alicante,Comunidad Valenciana,Orihuela (Comunidad Valenciana),91260,"38,35196143",35,2013
Mora,Toledo,Castilla La Mancha,Mora (Castilla La Mancha),10433,"38,33988306",4,2013
Arona,Santa Cruz de Tenerife,Canarias,Arona (Canarias),80987,"38,27774828",31,2013
Utebo,Zaragoza,Aragón,Utebo (Aragón),18336,"38,17626527",7,2013
Villaquilambre,León,Castilla y León,Villaquilambre (Castilla y León),18343,"38,16169656",7,2013
Cuevas del Almanzora,Almería,Andalucía,Cuevas del Almanzora (Andalucía),13108,"38,14464449",5,2013
Calella,Barcelona,Cataluña,Calella (Cataluña),18469,"37,90134821",7,2013
Rute,Córdoba,Andalucía,Rute (Andalucía),10560,"37,87878788",4,2013
Guadalajara,Guadalajara,Castilla La Mancha,Guadalajara (Castilla La Mancha),84504,"37,86802992",32,2013
Blanes,Girona,Cataluña,Blanes (Cataluña),39660,"37,8214826",15,2013
Laudio/Llodio,Araba/Álava,País Vasco,Laudio/Llodio (País Vasco),18510,"37,817396",7,2013
Torrox,Málaga,Andalucía,Torrox (Andalucía),18514,"37,80922545",7,2013
Grado,Asturias,Asturias,Grado (Asturias),10595,"37,75365739",4,2013
"Zubia, La",Granada,Andalucía,"Zubia, La (Andalucía)",18595,"37,6445281",7,2013
Alcázar de San Juan,Ciudad Real,Castilla La Mancha,Alcázar de San Juan (Castilla La Mancha),31973,"37,53166734",12,2013
Cambre,A Coruña,Galicia,Cambre (Galicia),23999,"37,50156257",9,2013
"Algaba, La",Sevilla,Andalucía,"Algaba, La (Andalucía)",16029,"37,43215422",6,2013
Torrijos,Toledo,Castilla La Mancha,Torrijos (Castilla La Mancha),13359,"37,42795119",5,2013
Ciutadella de Menorca,Illes Balears,Illes Balears,Ciutadella de Menorca (Illes Balears),29629,"37,12578892",11,2013
Bétera,València/Valencia,Comunidad Valenciana,Bétera (Comunidad Valenciana),21566,"37,09542799",8,2013
Torrevieja,Alacant/Alicante,Comunidad Valenciana,Torrevieja (Comunidad Valenciana),105205,"37,07048144",39,2013
"Bisbal d'Empordà, La",Girona,Cataluña,"Bisbal d'Empordà, La (Cataluña)",10793,"37,06105809",4,2013
Ripoll,Girona,Cataluña,Ripoll (Cataluña),10798,"37,04389702",4,2013
"Puerto de Santa María, El",Cádiz,Andalucía,"Puerto de Santa María, El (Andalucía)",89142,"37,01958673",33,2013
Mairena del Aljarafe,Sevilla,Andalucía,Mairena del Aljarafe (Andalucía),43305,"36,94723473",16,2013
Lloret de Mar,Girona,Cataluña,Lloret de Mar (Cataluña),40803,"36,76200279",15,2013
Terrassa,Barcelona,Cataluña,Terrassa (Cataluña),215055,"36,73478878",79,2013
"Franqueses del Vallès, Les",Barcelona,Cataluña,"Franqueses del Vallès, Les (Cataluña)",19074,"36,69917165",7,2013
Castellón de la Plana/Castelló de la Plana,Castelló/Castellón,Comunidad Valenciana,Castellón de la Plana/Castelló de la Plana (Comunidad Valenciana),180185,"36,62902017",66,2013
Manzanares,Ciudad Real,Castilla La Mancha,Manzanares (Castilla La Mancha),19118,"36,61470865",7,2013
San Javier,Murcia,Región de Murcia,San Javier (Región de Murcia),32786,"36,60098823",12,2013
Aguilar de la Frontera,Córdoba,Andalucía,Aguilar de la Frontera (Andalucía),13671,"36,57376929",5,2013
Alcorcón,Madrid,Comunidad de Madrid,Alcorcón (Comunidad de Madrid),169773,"36,51935231",62,2013
Getafe,Madrid,Comunidad de Madrid,Getafe (Comunidad de Madrid),172526,"36,51623523",63,2013
Murcia,Murcia,Región de Murcia,Murcia (Región de Murcia),438246,"36,50917521",160,2013
"Alfàs del Pi, l'",Alacant/Alicante,Comunidad Valenciana,"Alfàs del Pi, l' (Comunidad Valenciana)",21969,"36,41494834",8,2013
Humanes de Madrid,Madrid,Comunidad de Madrid,Humanes de Madrid (Comunidad de Madrid),19248,"36,3674148",7,2013
Benalmádena,Málaga,Andalucía,Benalmádena (Andalucía),69002,"36,23083389",25,2013
"Cabezas de San Juan, Las",Sevilla,Andalucía,"Cabezas de San Juan, Las (Andalucía)",16589,"36,16854542",6,2013
Tegueste,Santa Cruz de Tenerife,Canarias,Tegueste (Canarias),11078,"36,10760065",4,2013
"Grove, O",Pontevedra,Galicia,"Grove, O (Galicia)",11096,"36,04902668",4,2013
Vic,Barcelona,Cataluña,Vic (Cataluña),41647,"36,01700002",15,2013
Fuente Palmera,Córdoba,Andalucía,Fuente Palmera (Andalucía),11112,"35,99712023",4,2013
Dénia,Alacant/Alicante,Comunidad Valenciana,Dénia (Comunidad Valenciana),44450,"35,99550056",16,2013
Tàrrega,Lleida,Cataluña,Tàrrega (Cataluña),16670,"35,99280144",6,2013
Fuente Álamo de Murcia,Murcia,Región de Murcia,Fuente Álamo de Murcia (Región de Murcia),16679,"35,9733797",6,2013
Poio,Pontevedra,Galicia,Poio (Galicia),16767,"35,78457685",6,2013
Fuensalida,Toledo,Castilla La Mancha,Fuensalida (Castilla La Mancha),11221,"35,64744675",4,2013
"Pobla de Vallbona, la",València/Valencia,Comunidad Valenciana,"Pobla de Vallbona, la (Comunidad Valenciana)",22499,"35,55713587",8,2013
Cambrils,Tarragona,Cataluña,Cambrils (Cataluña),33775,"35,5292376",12,2013
Manresa,Barcelona,Cataluña,Manresa (Cataluña),76170,"35,44702639",27,2013
Laguna de Duero,Valladolid,Castilla y León,Laguna de Duero (Castilla y León),22590,"35,41389996",8,2013
Mungia,Bizkaia,País Vasco,Mungia (País Vasco),17022,"35,24850194",6,2013
Mancha Real,Jaén,Andalucía,Mancha Real (Andalucía),11353,"35,23297807",4,2013
Onda,Castelló/Castellón,Comunidad Valenciana,Onda (Comunidad Valenciana),25572,"35,19474425",9,2013
Formentera,Illes Balears,Illes Balears,Formentera (Illes Balears),11374,"35,16792685",4,2013
Atarfe,Granada,Andalucía,Atarfe (Andalucía),17141,"35,00379208",6,2013
Bermeo,Bizkaia,País Vasco,Bermeo (País Vasco),17159,"34,96707267",6,2013
Girona,Girona,Cataluña,Girona (Cataluña),97292,"34,94634708",34,2013
Lalín,Pontevedra,Galicia,Lalín (Galicia),20048,"34,91620112",7,2013
Nerja,Málaga,Andalucía,Nerja (Andalucía),22918,"34,90705995",8,2013
Azkoitia,Gipuzkoa,País Vasco,Azkoitia (País Vasco),11463,"34,89487918",4,2013
Palafrugell,Girona,Cataluña,Palafrugell (Cataluña),22942,"34,87054311",8,2013
Bollullos Par del Condado,Huelva,Andalucía,Bollullos Par del Condado (Andalucía),14394,"34,73669585",5,2013
Palencia,Palencia,Castilla y León,Palencia (Castilla y León),80649,"34,71834741",28,2013
Palau-solità i Plegamans,Barcelona,Cataluña,Palau-solità i Plegamans (Cataluña),14454,"34,59250035",5,2013
Linares,Jaén,Andalucía,Linares (Andalucía),60740,"34,57359236",21,2013
Espartinas,Sevilla,Andalucía,Espartinas (Andalucía),14485,"34,51846738",5,2013
Candelaria,Santa Cruz de Tenerife,Canarias,Candelaria (Canarias),26134,"34,43789699",9,2013
Aspe,Alacant/Alicante,Comunidad Valenciana,Aspe (Comunidad Valenciana),20341,"34,41325402",7,2013
Sonseca,Toledo,Castilla La Mancha,Sonseca (Castilla La Mancha),11626,"34,40564253",4,2013
Cangas,Pontevedra,Galicia,Cangas (Galicia),26173,"34,38658159",9,2013
Castilleja de la Cuesta,Sevilla,Andalucía,Castilleja de la Cuesta (Andalucía),17474,"34,33672885",6,2013
Puerto Lumbreras,Murcia,Región de Murcia,Puerto Lumbreras (Región de Murcia),14564,"34,33122768",5,2013
Pozuelo de Alarcón,Madrid,Comunidad de Madrid,Pozuelo de Alarcón (Comunidad de Madrid),84474,"34,33008973",29,2013
Rota,Cádiz,Andalucía,Rota (Andalucía),29136,"34,32180121",10,2013
Elche/Elx,Alacant/Alicante,Comunidad Valenciana,Elche/Elx (Comunidad Valenciana),230224,"34,31440684",79,2013
Ponteareas,Pontevedra,Galicia,Ponteareas (Galicia),23326,"34,29649318",8,2013
"Palacios y Villafranca, Los",Sevilla,Andalucía,"Palacios y Villafranca, Los (Andalucía)",37936,"34,26824125",13,2013
Manlleu,Barcelona,Cataluña,Manlleu (Cataluña),20435,"34,25495473",7,2013
"Eliana, l'",València/Valencia,Comunidad Valenciana,"Eliana, l' (Comunidad Valenciana)",17527,"34,23289781",6,2013
"Vall d'Uixó, la",Castelló/Castellón,Comunidad Valenciana,"Vall d'Uixó, la (Comunidad Valenciana)",32202,"34,15936898",11,2013
Guía de Isora,Santa Cruz de Tenerife,Canarias,Guía de Isora (Canarias),20537,"34,08482252",7,2013
Cieza,Murcia,Región de Murcia,Cieza (Región de Murcia),35240,"34,05221339",12,2013
Culleredo,A Coruña,Galicia,Culleredo (Galicia),29415,"33,99626041",10,2013
Torre del Campo,Jaén,Andalucía,Torre del Campo (Andalucía),14729,"33,94663589",5,2013
