Institución;Tipo institución;Coste €;Empresa adjudicataria;Fuente
CIEMAT;Ministerios;395551,35;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-4675
Bibliotecas Universitarias de Cataluña;Universidades;4454312,43;Springer Customer Service Center Gmbh;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-4527
Universidad de Sevilla;Universidades;1794000,00;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-4301
Universidad de Zaragoza;Universidades;1037193,86;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-4014
Bibliotecas Universitarias de Cataluña;Universidades;2742542,96;John Wiley & Sons Inc.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-4012
Bibliotecas Universitarias de Cataluña;Universidades;4549242,31;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-4011
Bibliotecas Universitarias de Cataluña;Universidades;304581,20;Oxford University Press;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-4010
Bibliotecas Universitarias de Cataluña;Universidades;288997,51;American Chemical Society (ACS);http://www.boe.es/buscar/doc.php?id=BOE-B-2015-4009
Universidad Politécnica de Madrid;Universidades;226014,34;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-38801
Universidad Autónoma de Barcelona;Universidades;747064,62;EBSCO Subscription Services España, S.L.U. y Greendata, S.L.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-38630
Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria (INIA);Ministerios;349601,85;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-37430
Universitat Jaume I;Universidades;207716,76;EBSCO Subscription Services España, S.L.U. y Librería Jurídica lex nova, S.L.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-37301
CSIC;Ministerios;905365,75;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-2805
Universidad de Valladolid;Universidades;418028,82;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-27402
Osakidetza-Servicio Vasco de Salud;CCAA;599362,90;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-24090
Universidad de Oviedo;Universidades;256963,85;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-23704
Universidad de Murcia;Universidades;587410,53;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-21503
Universidad de Oviedo;Universidades;263417,00;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-16429
Universitat de València;Universidades;806726,18;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-14683
Osakidetza-Servicio Vasco de Salud;CCAA;683012,00;Ovid Technologies, S.L.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-14626
Universidad de Murcia;Universidades;618866,09;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-13977
Universidad de Alicante;Universidades;143143,00;ProQuest Information & Learning España, S.L.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-13631
Universidad de Alicante;Universidades;308985,60;Greendata, S.L.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-13630
Bibliotecas Universitarias de Madrid y UNED;Universidades;2379528,04;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-12261
Universidad de La Laguna;Universidades;545549,23;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-12078
Universidad de La Laguna;Universidades;686376,95;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-12077
Universidad de Jaén;Universidades;597162,14;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-11369
Universidad de Valladolid;Universidades;413889,89;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-9351
Bibliotecas Universitarias de Cataluña;Universidades;153707,26;SAGE Publications Ltd.;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-893
Universidad de Barcelona;Universidades;854499,10;EBSCO Subscription Services España, S.L.U. y Swets Information Services B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-7196
Universidad de Jaén;Universidades;481335,88;Swets Information Services, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-5863
Universitat de València;Universidades;1945928,70;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-44988
CSIC;Ministerios;4763290,05;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-44353
Bibliotecas Universitarias de Cataluña;Universidades;185160,25;ProQuest Information & Learning España, S.L.;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-42762
Universidad Autónoma de Madrid;Universidades;776762,33;Swets Information Services, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-4030
CIEMAT;Ministerios;193993,25;Swets Information Services, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-28422
Bibliotecas Universitarias de Cataluña;Universidades;268440,92;Oxford University Press;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-2479
Gerencia Regional de Salud de Castilla y León;CCAA;1244897,85;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-2219
Universidad de Málaga;Universidades;2319901,20;Swets Information Services, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-21389
Universidad de Málaga;Universidades;187531,06;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-21388
Universidad de La Laguna;Universidades;555335,35;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-21006
Universidad de La Laguna;Universidades;645714,97;Swets Information Services, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2014-2043
